z,sigma_0_2,sigma_1_0,sigma_2_0
-3.0,2.8905620875658995,4.5,5.193147180559945
-2.99,2.8606120875659,4.4700500000000005,5.163197180559946
-2.98,2.8307620875658994,4.4402,5.133347180559945
-2.97,2.8010120875659004,4.410450000000001,5.103597180559946
-2.96,2.7713620875658993,4.3808,5.073947180559945
-2.95,2.7418120875659,4.35125,5.044397180559946
-2.94,2.712362087565899,4.3218,5.014947180559945
-2.93,2.6830120875659,4.2924500000000005,4.985597180559946
-2.92,2.653762087565899,4.263199999999999,4.956347180559945
-2.91,2.6246120875659003,4.234050000000001,4.927197180559946
-2.9,2.5955620875658996,4.205,4.8981471805599455
-2.89,2.5666120875658995,4.17605,4.869197180559945
-2.88,2.5377620875658993,4.1472,4.840347180559945
-2.87,2.5090120875658997,4.11845,4.811597180559946
-2.86,2.480362087565899,4.089799999999999,4.782947180559945
-2.85,2.4518120875658997,4.06125,4.754397180559946
-2.84,2.4233620875658994,4.0328,4.725947180559945
-2.83,2.3950120875659,4.00445,4.697597180559946
-2.82,2.366762087565899,3.9761999999999995,4.669347180559945
-2.81,2.3386120875658998,3.9480500000000003,4.641197180559946
-2.8,2.3105620875658994,3.9199999999999995,4.613147180559944
-2.79,2.2826120875658997,3.8920500000000002,4.585197180559946
-2.78,2.254762087565899,3.8641999999999994,4.557347180559945
-2.77,2.2270120875658996,3.83645,4.5295971805599455
-2.76,2.1993620875658992,3.8087999999999993,4.501947180559944
-2.75,2.1718120875658995,3.78125,4.474397180559945
-2.74,2.1443620875659004,3.7538000000000005,4.446947180559945
-2.73,2.1170120875658993,3.72645,4.419597180559945
-2.7199999999999998,2.089762087565899,3.6991999999999994,4.392347180559945
-2.71,2.0626120875659,3.67205,4.365197180559945
-2.7,2.0355620875659,3.6450000000000005,4.338147180559946
-2.69,2.0086120875658997,3.6180499999999998,4.311197180559945
-2.68,1.9817620875659003,3.5912000000000006,4.284347180559946
-2.67,1.9550120875658996,3.56445,4.257597180559945
-2.66,1.9283620875659,3.5378000000000003,4.230947180559945
-2.65,1.9018120875658997,3.51125,4.204397180559945
-2.64,1.8753620875659,3.4848000000000003,4.177947180559945
-2.63,1.8490120875658993,3.4584499999999996,4.1515971805599445
-2.62,1.8227620875659,3.4322000000000004,4.125347180559945
-2.61,1.7966120875658993,3.4060499999999996,4.099197180559945
-2.6,1.7705620875659,3.3800000000000003,4.073147180559945
-2.59,1.7446120875658992,3.3540499999999995,4.0471971805599445
-2.58,1.7187620875659,3.3282000000000003,4.021347180559945
-2.57,1.6930120875658992,3.3024499999999994,3.995597180559945
-2.56,1.6673620875658999,3.2768,3.9699471805599456
-2.55,1.6418120875658995,3.2512499999999998,3.944397180559945
-2.54,1.6163620875658997,3.2258,3.9189471805599454
-2.53,1.5910120875658993,3.2004499999999996,3.893597180559945
-2.52,1.5657620875659,3.1752000000000002,3.8683471805599456
-2.51,1.540612087565899,3.1500499999999994,3.8431971805599447
-2.5,1.5155620875658997,3.125,3.8181471805599454
-2.49,1.4906120875659001,3.1000500000000004,3.793197180559946
-2.48,1.4657620875658999,3.0752,3.7683471805599456
-2.4699999999999998,1.441012087565899,3.050449999999999,3.7435971805599446
-2.46,1.4163620875658995,3.0258,3.718947180559945
-2.45,1.3918120875659004,3.0012500000000006,3.694397180559946
-2.44,1.3673620875658996,2.9768,3.6699471805599453
-2.4299999999999997,1.343012087565899,2.9524499999999994,3.6455971805599447
-2.42,1.3187620875658996,2.9282,3.6213471805599453
-2.41,1.2946120875659,2.9040500000000002,3.5971971805599456
-2.4,1.2705620875658996,2.88,3.5731471805599453
-2.39,1.2466120875659,2.85605,3.5491971805599456
-2.38,1.2227620875658995,2.8322,3.5253471805599452
-2.37,1.1990120875658998,2.80845,3.5015971805599455
-2.36,1.1753620875658994,2.7847999999999997,3.477947180559945
-2.35,1.1518120875659001,2.7612500000000004,3.454397180559946
-2.34,1.1283620875658993,2.7377999999999996,3.430947180559945
-2.33,1.1050120875659,2.7144500000000003,3.4075971805599456
-2.32,1.0817620875658995,2.6912,3.384347180559945
-2.31,1.0586120875658998,2.66805,3.3611971805599454
-2.3,1.0355620875658993,2.6449999999999996,3.338147180559945
-2.29,1.0126120875659,2.62205,3.3151971805599456
-2.2800000000000002,0.9897620875659003,2.5992000000000006,3.292347180559946
-2.27,0.9670120875658996,2.57645,3.2695971805599453
-2.26,0.9443620875658991,2.5537999999999994,3.246947180559945
-2.25,0.9218120875658997,2.53125,3.2243971805599454
-2.24,0.8993620875659001,2.5088000000000004,3.2019471805599458
-2.23,0.8770120875658998,2.48645,3.1795971805599454
-2.2199999999999998,0.8547620875658992,2.4641999999999995,3.157347180559945
-2.21,0.8326120875658998,2.44205,3.1351971805599455
-2.2,0.8105620875659001,2.4200000000000004,3.1131471805599458
-2.19,0.7886120875658997,2.39805,3.0911971805599454
-2.1799999999999997,0.7667620875658991,2.3761999999999994,3.069347180559945
-2.17,0.7450120875658996,2.35445,3.0475971805599453
-2.16,0.7233620875658999,2.3328,3.0259471805599456
-2.15,0.7018120875658995,2.31125,3.004397180559945
