archive_date,flight_id,source_id,aircraft_type,category,rows,start_utc,end_utc,duration_s,quality_good_fraction
2026-02-28,2026-02-28:06a1d1:000,06a1d1,GLF6,A3,585,1772241557.48,1772248709.28,7151.799999952316,0.9777777777777777
2026-02-28,2026-02-28:06a1d1:001,06a1d1,GLF6,A3,86,1772250779.7,1772253041.2,2261.5,0.9069767441860465
2026-02-28,2026-02-28:06a1d1:003,06a1d1,GLF6,A3,388,1772267319.03,1772269453.59,2134.5599999427795,0.9716494845360825
2026-02-28,2026-02-28:0a0049:000,0a0049,B738,A3,91,1772260634.23,1772262285.52,1651.289999961853,0.8791208791208791
2026-02-28,2026-02-28:0a0049:001,0a0049,B738,A3,576,1772268987.19,1772273636.47,4649.27999997139,0.9878472222222222
2026-02-28,2026-02-28:0a0049:002,0a0049,B738,A3,519,1772277071.44,1772282506.59,5435.149999856949,0.9614643545279383
2026-02-28,2026-02-28:0a0049:003,0a0049,B738,A3,665,1772294479.41,1772301823.8,7344.389999866486,0.9939849624060151
2026-02-28,2026-02-28:0a0049:004,0a0049,B738,A3,730,1772307063.29,1772313925.05,6861.759999990463,0.9972602739726028
2026-02-28,2026-02-28:0d0d74:000,0d0d74,H25B,A2,132,1772310714.17,1772312809.0,2094.829999923706,0.9924242424242424
2026-02-28,2026-02-28:0d0d74:001,0d0d74,H25B,A2,370,1772320163.61,1772322064.57,1900.960000038147,0.9756756756756757
2026-02-28,2026-02-28:151fc6:001,151fc6,B738,A3,61,1772268734.68,1772269358.31,623.6299998760223,0.8360655737704918
2026-02-28,2026-02-28:30095b:000,30095b,SR20,A1,701,1772267032.62,1772270934.46,3901.840000152588,0.9914407988587732
2026-02-28,2026-02-28:3444da:000,3444da,A320,A3,655,1772259302.03,1772267724.81,8422.77999997139,0.9908396946564886
2026-02-28,2026-02-28:3444da:001,3444da,A320,A3,475,1772269933.04,1772271994.19,2061.1500000953674,0.9936842105263158
2026-02-28,2026-02-28:3444da:002,3444da,A320,A3,457,1772275737.12,1772278201.01,2463.890000104904,0.9846827133479212
2026-02-28,2026-02-28:3444da:003,3444da,A320,A3,667,1772280744.27,1772289066.45,8322.180000066757,0.9865067466266867
2026-02-28,2026-02-28:3444da:004,3444da,A320,A3,559,1772295530.31,1772302019.28,6488.97000002861,0.9928443649373881
2026-02-28,2026-02-28:3444da:005,3444da,A320,A3,761,1772306428.34,1772312978.04,6549.700000047684,0.9960578186596584
2026-02-28,2026-02-28:344696:000,344696,A320,A3,955,1772273945.37,1772281273.18,7327.810000181198,0.9926701570680628
2026-02-28,2026-02-28:400b84:000,400b84,A319,A3,930,1772262420.78,1772267799.03,5378.25,0.9903225806451613
2026-02-28,2026-02-28:400b84:001,400b84,A319,A3,1043,1772270800.51,1772277297.67,6497.160000085831,0.9942473633748802
2026-02-28,2026-02-28:406ecc:000,406ecc,B789,A5,530,1772236805.19,1772240440.84,3635.649999856949,0.9981132075471698
2026-02-28,2026-02-28:406ecc:001,406ecc,B789,A5,718,1772248631.92,1772257798.87,9166.949999809265,0.979108635097493
2026-02-28,2026-02-28:406ecc:003,406ecc,B789,A5,2759,1772287044.0,1772297868.34,10824.33999991417,0.9945632475534614
2026-02-28,2026-02-28:406ecc:004,406ecc,B789,A5,371,1772318736.48,1772321731.52,2995.039999961853,0.9649595687331537
2026-02-28,2026-02-28:4076c0:000,4076c0,RV7,A1,207,1772286974.07,1772288536.6,1562.5299999713898,0.9951690821256038
2026-02-28,2026-02-28:4076c0:001,4076c0,RV7,A1,341,1772293052.58,1772294780.99,1728.4100000858307,0.9970674486803519
2026-02-28,2026-02-28:40809a:000,40809a,A139,A7,459,1772260494.46,1772265586.13,5091.670000076294,0.8671023965141612
2026-02-28,2026-02-28:40809a:001,40809a,A139,A7,487,1772266687.79,1772270018.51,3330.7200000286102,0.946611909650924
2026-02-28,2026-02-28:40809a:002,40809a,A139,A7,215,1772272382.13,1772273802.71,1420.579999923706,0.9767441860465116
2026-02-28,2026-02-28:40809a:005,40809a,A139,A7,456,1772292542.33,1772294551.44,2009.1100001335144,0.9780701754385965
2026-02-28,2026-02-28:440175:000,440175,A320,A3,1022,1772258767.41,1772265548.29,6780.879999876022,0.9921722113502935
2026-02-28,2026-02-28:440175:002,440175,A320,A3,962,1772278759.99,1772291645.74,12885.75,0.9916839916839917
2026-02-28,2026-02-28:440175:003,440175,A320,A3,1163,1772300132.98,1772314244.57,14111.58999991417,0.9939810834049871
2026-02-28,2026-02-28:449683:000,449683,E295,A3,756,1772262249.67,1772272233.96,9984.289999961853,0.9947089947089947
2026-02-28,2026-02-28:449683:001,449683,E295,A3,155,1772274418.32,1772277264.96,2846.640000104904,0.9225806451612903
2026-02-28,2026-02-28:449683:002,449683,E295,A3,151,1772283368.46,1772286021.58,2653.119999885559,0.9602649006622517
2026-02-28,2026-02-28:449683:003,449683,E295,A3,907,1772288530.51,1772298006.09,9475.579999923706,0.9955898566703418
2026-02-28,2026-02-28:46bc51:000,46bc51,AT76,A2,127,1772268890.91,1772269621.48,730.5699999332428,0.9763779527559056
2026-02-28,2026-02-28:46bc51:001,46bc51,AT76,A2,174,1772274430.84,1772275646.71,1215.8700001239777,0.9770114942528736
2026-02-28,2026-02-28:46bc51:003,46bc51,AT76,A2,200,1772289268.93,1772289956.17,687.2400000095367,0.985
2026-02-28,2026-02-28:48455d:000,48455d,B737,A3,950,1772308876.98,1772313114.57,4237.589999914169,0.9978947368421053
2026-02-28,2026-02-28:4ab5d5:000,4ab5d5,AT76,A2,545,1772255705.16,1772259143.17,3438.0099999904633,0.9926605504587156
2026-02-28,2026-02-28:4ab5d5:001,4ab5d5,AT76,A2,421,1772283097.14,1772286652.96,3555.819999933243,0.997624703087886
2026-02-28,2026-02-28:4ab5d5:002,4ab5d5,AT76,A2,443,1772289039.19,1772293128.22,4089.0299999713898,0.9977426636568849
2026-02-28,2026-02-28:4ab5d5:003,4ab5d5,AT76,A2,391,1772297145.04,1772300506.3,3361.2599999904633,0.9974424552429667
2026-02-28,2026-02-28:4b1900:001,4b1900,A343,A5,77,1772278462.25,1772280023.9,1561.6500000953674,0.8701298701298701
2026-02-28,2026-02-28:4b1900:002,4b1900,A343,A5,689,1772283544.76,1772291086.3,7541.539999961853,0.9854862119013063
2026-02-28,2026-02-28:4b1900:003,4b1900,A343,A5,663,1772299351.23,1772307094.51,7743.27999997139,0.9894419306184012
2026-02-28,2026-02-28:4cadbc:000,4cadbc,B38M,A3,773,1772257428.37,1772264837.66,7409.290000200272,0.9987063389391979
2026-02-28,2026-02-28:4cadbc:001,4cadbc,B38M,A3,701,1772267818.43,1772275068.64,7250.210000038147,0.9942938659058488
2026-02-28,2026-02-28:4cadbc:002,4cadbc,B38M,A3,566,1772278876.78,1772283800.96,4924.180000066757,0.9946996466431095
2026-02-28,2026-02-28:4cadbc:004,4cadbc,B38M,A3,879,1772295674.04,1772303060.03,7385.990000009537,0.9863481228668942
2026-02-28,2026-02-28:4cadbc:005,4cadbc,B38M,A3,702,1772306284.52,1772310005.3,3720.7799999713898,0.9772079772079773
2026-02-28,2026-02-28:4cadbc:006,4cadbc,B38M,A3,765,1772312331.02,1772316374.76,4043.7400000095367,0.9816993464052287
2026-02-28,2026-02-28:4cadf8:000,4cadf8,B38M,A3,1008,1772255031.39,1772270465.83,15434.439999818802,0.9920634920634921
2026-02-28,2026-02-28:4cadf8:001,4cadf8,B38M,A3,535,1772292175.86,1772295755.78,3579.920000076294,0.9962616822429906
2026-02-28,2026-02-28:4cadf8:002,4cadf8,B38M,A3,612,1772299538.08,1772305742.14,6204.060000181198,0.9983660130718954
2026-02-28,2026-02-28:4cadf8:003,4cadf8,B38M,A3,597,1772309936.9,1772315814.86,5877.959999799728,0.998324958123953
2026-02-28,2026-02-28:710413:000,710413,A320,A3,121,1772322377.26,1772323071.47,694.210000038147,0.9008264462809917
2026-02-28,2026-02-28:750423:000,750423,B38M,A3,116,1772247715.69,1772248405.89,690.2000000476837,0.9655172413793104
2026-02-28,2026-02-28:750423:003,750423,B38M,A3,222,1772264585.56,1772265914.81,1329.25,0.9684684684684685
2026-02-28,2026-02-28:76cd09:000,76cd09,A359,A5,406,1772238893.58,1772241230.36,2336.7799999713898,0.9802955665024631
2026-02-28,2026-02-28:76cd09:001,76cd09,A359,A5,316,1772245981.21,1772248518.96,2537.75,0.9810126582278481
